joint,x,y,z
7,350.8701,25.555264,1137.2916
8,341.11108,111.53552,1366.4602
9,247.67809,-62.90928,1386.4321
10,392.19882,-73.63836,1314.8823
11,245.01218,-406.34137,1406.266
12,408.19028,-398.09387,1317.7163
13,258.34344,-759.42346,1483.4629
14,406.0863,-770.1156,1397.6425
0,354.47086,427.91357,1397.4697
1,360.62024,288.3462,1383.9932
2,243.30061,296.19513,1442.073
3,477.93988,280.49728,1325.9133
4,195.74861,74.5018,1502.1708
5,523.8783,70.209335,1309.8588
6,112.84347,-157.93774,1278.4939
7,392.22046,-29.778229,1127.8835
8,340.66727,109.627235,1367.8408
9,248.72835,-64.27572,1387.3256
10,392.70023,-73.90774,1316.0514
11,242.75964,-410.088,1405.265
12,404.39172,-423.9525,1332.9241
13,257.36493,-760.18195,1496.8441
14,408.49744,-772.5314,1399.4149
0,350.305,430.07574,1394.2106
1,360.18237,288.38416,1382.1274
2,242.73741,296.25357,1440.8568
3,477.62735,280.5147,1323.3981
4,199.85272,75.39929,1522.9205
5,526.9357,72.10802,1312.0049
6,110.935875,-169.75214,1319.1616
7,428.0673,-60.45163,1127.9976
8,341.22983,109.06671,1368.2544
9,250.99535,-65.47445,1390.0265
10,393.5592,-75.026985,1318.7362
11,236.65521,-417.22803,1409.1892
12,406.7182,-433.0131,1332.6973
13,259.1548,-762.8335,1500.2823
14,410.81613,-771.68097,1396.8317
0,350.49698,429.71417,1394.3804
1,361.60547,289.3248,1378.997
2,241.24707,298.40918,1435.8573
3,481.96387,280.2404,1322.1366
4,199.35132,82.59842,1528.9315
5,542.8317,73.63724,1329.2958
6,112.60177,-173.4375,1345.8909
7,457.8405,-87.11711,1133.7688
8,343.4856,108.74984,1369.4918
9,253.06268,-66.36783,1394.1445
10,397.66876,-77.282394,1325.8289
11,227.69872,-421.26767,1407.0941
12,404.88293,-417.39044,1328.2966
13,260.91537,-763.7247,1510.3779
14,410.53778,-774.37134,1396.2979
0,348.72418,429.1016,1394.0984
1,362.1238,289.87872,1376.7983
2,240.33923,298.96155,1432.7164
3,483.9084,280.79593,1320.8802
4,200.48318,87.70555,1529.8536
5,545.1869,74.152725,1331.1912
6,109.00691,-174.01271,1385.2838
7,482.49045,-105.035675,1139.3398
8,345.30762,108.80072,1369.5868
9,256.52316,-66.909836,1395.4199
10,400.4597,-77.64476,1329.3306
11,227.8822,-420.1988,1412.3726
12,413.4404,-400.9029,1321.7733
13,261.84546,-760.38,1516.3953
14,410.82663,-776.3192,1395.4607
0,348.05502,429.17755,1393.319
1,362.42072,290.007,1370.8424
2,239.87819,299.52264,1431.4991
3,484.96326,280.49133,1310.1857
4,203.69339,94.89728,1531.8553
5,548.2467,73.598114,1330.6177
6,106.525795,-180.34253,1406.6357
7,501.37082,-119.97452,1145.1744
